key	value
case.offline.contraction_control.fast.O0.contract-off.verdict.seed	observed=3e400003,written=3e400003,verdict=as-written-and-freedom-independent
case.offline.contraction_control.fast.O0.contract-off.verdict.witness	observed=40c00000,written=40c00000,verdict=as-written-and-freedom-independent
case.offline.contraction_control.fast.O0.contract-off.verdict.contraction	observed=3fc58f9e,written=3fc58f9e,verdict=as-written
case.offline.contraction_control.fast.O0.contract-on.float_operations	fadd;fmul
case.offline.contraction_control.fast.O0.contract-on.fast_math_licences	reassoc nnan ninf nsz arcp afn
case.offline.contraction_control.fast.O0.contract-on.results	3e400003 3e400003 3e400003 3e400003 40c00000 40c00000 40c00000 40c00000 3fc58f9e 3fc58f9e 3fc58f9e 3fc58f9e
case.offline.contraction_control.fast.O0.contract-on.verdict.seed	observed=3e400003,written=3e400003,verdict=as-written-and-freedom-independent
case.offline.contraction_control.fast.O0.contract-on.verdict.witness	observed=40c00000,written=40c00000,verdict=as-written-and-freedom-independent
case.offline.contraction_control.fast.O0.contract-on.verdict.contraction	observed=3fc58f9e,written=3fc58f9e,verdict=as-written
case.offline.contraction_control.fast.O2.contract-fast.float_operations	fadd;fmul
case.offline.contraction_control.fast.O2.contract-fast.fast_math_licences	fast
case.offline.contraction_control.fast.O2.contract-fast.results	3e400003 3e400003 3e400003 3e400003 40c00000 40c00000 40c00000 40c00000 3fc58f9d 3fc58f9d 3fc58f9d 3fc58f9d
case.offline.contraction_control.fast.O2.contract-fast.verdict.seed	observed=3e400003,written=3e400003,verdict=as-written-and-freedom-independent
case.offline.contraction_control.fast.O2.contract-fast.verdict.witness	observed=40c00000,written=40c00000,verdict=as-written-and-freedom-independent
case.offline.contraction_control.fast.O2.contract-fast.verdict.contraction	observed=3fc58f9d,written=3fc58f9e,verdict=diverged
case.offline.contraction_control.fast.O2.contract-off.float_operations	fadd;fmul
case.offline.contraction_control.fast.O2.contract-off.fast_math_licences	reassoc nnan ninf nsz arcp afn
case.offline.contraction_control.fast.O2.contract-off.results	3e400003 3e400003 3e400003 3e400003 40c00000 40c00000 40c00000 40c00000 3fc58f9e 3fc58f9e 3fc58f9e 3fc58f9e
case.offline.contraction_control.fast.O2.contract-off.verdict.seed	observed=3e400003,written=3e400003,verdict=as-written-and-freedom-independent
case.offline.contraction_control.fast.O2.contract-off.verdict.witness	observed=40c00000,written=40c00000,verdict=as-written-and-freedom-independent
case.offline.contraction_control.fast.O2.contract-off.verdict.contraction	observed=3fc58f9e,written=3fc58f9e,verdict=as-written
case.offline.contraction_control.fast.O2.contract-on.float_operations	fadd;fmul
case.offline.contraction_control.fast.O2.contract-on.fast_math_licences	reassoc nnan ninf nsz arcp afn
case.offline.contraction_control.fast.O2.contract-on.results	3e400003 3e400003 3e400003 3e400003 40c00000 40c00000 40c00000 40c00000 3fc58f9e 3fc58f9e 3fc58f9e 3fc58f9e
case.offline.contraction_control.fast.O2.contract-on.verdict.seed	observed=3e400003,written=3e400003,verdict=as-written-and-freedom-independent
case.offline.contraction_control.fast.O2.contract-on.verdict.witness	observed=40c00000,written=40c00000,verdict=as-written-and-freedom-independent
case.offline.contraction_control.fast.O2.contract-on.verdict.contraction	observed=3fc58f9e,written=3fc58f9e,verdict=as-written
case.offline.contraction_control.relaxed.O0.contract-fast.float_operations	fadd;fmul
case.offline.contraction_control.relaxed.O0.contract-fast.fast_math_licences	reassoc nsz arcp contract afn
case.offline.contraction_control.relaxed.O0.contract-fast.results	3e400003 3e400003 3e400003 3e400003 40c00000 40c00000 40c00000 40c00000 3fc58f9d 3fc58f9d 3fc58f9d 3fc58f9d
case.offline.contraction_control.relaxed.O0.contract-fast.verdict.seed	observed=3e400003,written=3e400003,verdict=as-written-and-freedom-independent
case.offline.contraction_control.relaxed.O0.contract-fast.verdict.witness	observed=40c00000,written=40c00000,verdict=as-written-and-freedom-independent
case.offline.contraction_control.relaxed.O0.contract-fast.verdict.contraction	observed=3fc58f9d,written=3fc58f9e,verdict=diverged
case.offline.contraction_control.relaxed.O0.contract-off.float_operations	fadd;fmul
case.offline.contraction_control.relaxed.O0.contract-off.fast_math_licences	reassoc nsz arcp afn
case.offline.contraction_control.relaxed.O0.contract-off.results	3e400003 3e400003 3e400003 3e400003 40c00000 40c00000 40c00000 40c00000 3fc58f9e 3fc58f9e 3fc58f9e 3fc58f9e
case.offline.contraction_control.relaxed.O0.contract-off.verdict.seed	observed=3e400003,written=3e400003,verdict=as-written-and-freedom-independent
case.offline.contraction_control.relaxed.O0.contract-off.verdict.witness	observed=40c00000,written=40c00000,verdict=as-written-and-freedom-independent
case.offline.contraction_control.relaxed.O0.contract-off.verdict.contraction	observed=3fc58f9e,written=3fc58f9e,verdict=as-written
case.offline.contraction_control.relaxed.O0.contract-on.float_operations	fadd;fmul
case.offline.contraction_control.relaxed.O0.contract-on.fast_math_licences	reassoc nsz arcp afn
case.offline.contraction_control.relaxed.O0.contract-on.results	3e400003 3e400003 3e400003 3e400003 40c00000 40c00000 40c00000 40c00000 3fc58f9e 3fc58f9e 3fc58f9e 3fc58f9e
case.offline.contraction_control.relaxed.O0.contract-on.verdict.seed	observed=3e400003,written=3e400003,verdict=as-written-and-freedom-independent
case.offline.contraction_control.relaxed.O0.contract-on.verdict.witness	observed=40c00000,written=40c00000,verdict=as-written-and-freedom-independent
case.offline.contraction_control.relaxed.O0.contract-on.verdict.contraction	observed=3fc58f9e,written=3fc58f9e,verdict=as-written
case.offline.contraction_control.relaxed.O2.contract-fast.float_operations	fadd;fmul
case.offline.contraction_control.relaxed.O2.contract-fast.fast_math_licences	reassoc nsz arcp contract afn
case.offline.contraction_control.relaxed.O2.contract-fast.results	3e400003 3e400003 3e400003 3e400003 40c00000 40c00000 40c00000 40c00000 3fc58f9d 3fc58f9d 3fc58f9d 3fc58f9d
case.offline.contraction_control.relaxed.O2.contract-fast.verdict.seed	observed=3e400003,written=3e400003,verdict=as-written-and-freedom-independent
case.offline.contraction_control.relaxed.O2.contract-fast.verdict.witness	observed=40c00000,written=40c00000,verdict=as-written-and-freedom-independent
case.offline.contraction_control.relaxed.O2.contract-fast.verdict.contraction	observed=3fc58f9d,written=3fc58f9e,verdict=diverged
case.offline.contraction_control.relaxed.O2.contract-off.float_operations	fadd;fmul
case.offline.contraction_control.relaxed.O2.contract-off.fast_math_licences	reassoc nsz arcp afn
case.offline.contraction_control.relaxed.O2.contract-off.results	3e400003 3e400003 3e400003 3e400003 40c00000 40c00000 40c00000 40c00000 3fc58f9e 3fc58f9e 3fc58f9e 3fc58f9e
case.offline.contraction_control.relaxed.O2.contract-off.verdict.seed	observed=3e400003,written=3e400003,verdict=as-written-and-freedom-independent
case.offline.contraction_control.relaxed.O2.contract-off.verdict.witness	observed=40c00000,written=40c00000,verdict=as-written-and-freedom-independent
case.offline.contraction_control.relaxed.O2.contract-off.verdict.contraction	observed=3fc58f9e,written=3fc58f9e,verdict=as-written
case.offline.contraction_control.relaxed.O2.contract-on.float_operations	fadd;fmul
case.offline.contraction_control.relaxed.O2.contract-on.fast_math_licences	reassoc nsz arcp afn
case.offline.contraction_control.relaxed.O2.contract-on.results	3e400003 3e400003 3e400003 3e400003 40c00000 40c00000 40c00000 40c00000 3fc58f9e 3fc58f9e 3fc58f9e 3fc58f9e
case.offline.contraction_control.relaxed.O2.contract-on.verdict.seed	observed=3e400003,written=3e400003,verdict=as-written-and-freedom-independent
case.offline.contraction_control.relaxed.O2.contract-on.verdict.witness	observed=40c00000,written=40c00000,verdict=as-written-and-freedom-independent
case.offline.contraction_control.relaxed.O2.contract-on.verdict.contraction	observed=3fc58f9e,written=3fc58f9e,verdict=as-written
case.offline.contraction_control.safe.O0.contract-fast.float_operations	fadd;fmul
case.offline.contraction_control.safe.O0.contract-fast.fast_math_licences	contract
case.offline.contraction_control.safe.O0.contract-fast.results	3e400003 3e400003 3e400003 3e400003 40c00000 40c00000 40c00000 40c00000 3fc58f9d 3fc58f9d 3fc58f9d 3fc58f9d
case.offline.contraction_control.safe.O0.contract-fast.verdict.seed	observed=3e400003,written=3e400003,verdict=as-written-and-freedom-independent
case.offline.contraction_control.safe.O0.contract-fast.verdict.witness	observed=40c00000,written=40c00000,verdict=as-written-and-freedom-independent
case.offline.contraction_control.safe.O0.contract-fast.verdict.contraction	observed=3fc58f9d,written=3fc58f9e,verdict=diverged
case.offline.contraction_control.safe.O0.contract-off.float_operations	fadd;fmul
case.offline.contraction_control.safe.O0.contract-off.fast_math_licences	none
case.offline.contraction_control.safe.O0.contract-off.results	3e400003 3e400003 3e400003 3e400003 40c00000 40c00000 40c00000 40c00000 3fc58f9e 3fc58f9e 3fc58f9e 3fc58f9e
case.offline.contraction_control.safe.O0.contract-off.verdict.seed	observed=3e400003,written=3e400003,verdict=as-written-and-freedom-independent
case.offline.contraction_control.safe.O0.contract-off.verdict.witness	observed=40c00000,written=40c00000,verdict=as-written-and-freedom-independent
case.offline.contraction_control.safe.O0.contract-off.verdict.contraction	observed=3fc58f9e,written=3fc58f9e,verdict=as-written
case.offline.contraction_control.safe.O0.contract-on.float_operations	fadd;fmul
case.offline.contraction_control.safe.O0.contract-on.fast_math_licences	none
case.offline.contraction_control.safe.O0.contract-on.results	3e400003 3e400003 3e400003 3e400003 40c00000 40c00000 40c00000 40c00000 3fc58f9e 3fc58f9e 3fc58f9e 3fc58f9e
case.offline.contraction_control.safe.O0.contract-on.verdict.seed	observed=3e400003,written=3e400003,verdict=as-written-and-freedom-independent
case.offline.contraction_control.safe.O0.contract-on.verdict.witness	observed=40c00000,written=40c00000,verdict=as-written-and-freedom-independent
case.offline.contraction_control.safe.O0.contract-on.verdict.contraction	observed=3fc58f9e,written=3fc58f9e,verdict=as-written
case.offline.contraction_control.safe.O2.contract-fast.float_operations	fadd;fmul
case.offline.contraction_control.safe.O2.contract-fast.fast_math_licences	contract
case.offline.contraction_control.safe.O2.contract-fast.results	3e400003 3e400003 3e400003 3e400003 40c00000 40c00000 40c00000 40c00000 3fc58f9d 3fc58f9d 3fc58f9d 3fc58f9d
case.offline.contraction_control.safe.O2.contract-fast.verdict.seed	observed=3e400003,written=3e400003,verdict=as-written-and-freedom-independent
case.offline.contraction_control.safe.O2.contract-fast.verdict.witness	observed=40c00000,written=40c00000,verdict=as-written-and-freedom-independent
case.offline.contraction_control.safe.O2.contract-fast.verdict.contraction	observed=3fc58f9d,written=3fc58f9e,verdict=diverged
case.offline.contraction_control.safe.O2.contract-off.float_operations	fadd;fmul
case.offline.contraction_control.safe.O2.contract-off.fast_math_licences	none
case.offline.contraction_control.safe.O2.contract-off.results	3e400003 3e400003 3e400003 3e400003 40c00000 40c00000 40c00000 40c00000 3fc58f9e 3fc58f9e 3fc58f9e 3fc58f9e
case.offline.contraction_control.safe.O2.contract-off.verdict.seed	observed=3e400003,written=3e400003,verdict=as-written-and-freedom-independent
case.offline.contraction_control.safe.O2.contract-off.verdict.witness	observed=40c00000,written=40c00000,verdict=as-written-and-freedom-independent
case.offline.contraction_control.safe.O2.contract-off.verdict.contraction	observed=3fc58f9e,written=3fc58f9e,verdict=as-written
case.offline.contraction_control.safe.O2.contract-on.float_operations	fadd;fmul
case.offline.contraction_control.safe.O2.contract-on.fast_math_licences	none
case.offline.contraction_control.safe.O2.contract-on.results	3e400003 3e400003 3e400003 3e400003 40c00000 40c00000 40c00000 40c00000 3fc58f9e 3fc58f9e 3fc58f9e 3fc58f9e
case.offline.contraction_control.safe.O2.contract-on.verdict.seed	observed=3e400003,written=3e400003,verdict=as-written-and-freedom-independent
case.offline.contraction_control.safe.O2.contract-on.verdict.witness	observed=40c00000,written=40c00000,verdict=as-written-and-freedom-independent
case.offline.contraction_control.safe.O2.contract-on.verdict.contraction	observed=3fc58f9e,written=3fc58f9e,verdict=as-written
case.offline.serial_fold4.fast.O0.contract-fast.float_operations	fadd;fadd;fadd
case.offline.serial_fold4.fast.O0.contract-fast.fold_shape	t0=L0+L1;t1=L2+L3;t2=L4+L5,tree=unresolved-through-stack-slots
case.offline.serial_fold4.fast.O0.contract-fast.fast_math_licences	fast
case.offline.serial_fold4.fast.O0.contract-fast.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.serial_fold4.fast.O0.contract-fast.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.offline.serial_fold4.fast.O0.contract-fast.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.fast.O0.contract-fast.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.fast.O0.contract-off.float_operations	fadd;fadd;fadd
case.offline.serial_fold4.fast.O0.contract-off.fold_shape	t0=L0+L1;t1=L2+L3;t2=L4+L5,tree=unresolved-through-stack-slots
case.offline.serial_fold4.fast.O0.contract-off.fast_math_licences	reassoc nnan ninf nsz arcp afn
case.offline.serial_fold4.fast.O0.contract-off.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.serial_fold4.fast.O0.contract-off.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.offline.serial_fold4.fast.O0.contract-off.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.fast.O0.contract-off.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.fast.O0.contract-on.float_operations	fadd;fadd;fadd
case.offline.serial_fold4.fast.O0.contract-on.fold_shape	t0=L0+L1;t1=L2+L3;t2=L4+L5,tree=unresolved-through-stack-slots
case.offline.serial_fold4.fast.O0.contract-on.fast_math_licences	reassoc nnan ninf nsz arcp afn
case.offline.serial_fold4.fast.O0.contract-on.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.serial_fold4.fast.O0.contract-on.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.offline.serial_fold4.fast.O0.contract-on.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.fast.O0.contract-on.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.fast.O2.contract-fast.float_operations	fadd;fadd;fadd
case.offline.serial_fold4.fast.O2.contract-fast.fold_shape	t0=a1+a0;t1=t0+a2;t2=t1+a3,tree=serial
case.offline.serial_fold4.fast.O2.contract-fast.fast_math_licences	fast
case.offline.serial_fold4.fast.O2.contract-fast.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.serial_fold4.fast.O2.contract-fast.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.offline.serial_fold4.fast.O2.contract-fast.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.fast.O2.contract-fast.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.fast.O2.contract-off.float_operations	fadd;fadd;fadd
case.offline.serial_fold4.fast.O2.contract-off.fold_shape	t0=a0+a1;t1=t0+a2;t2=t1+a3,tree=serial
case.offline.serial_fold4.fast.O2.contract-off.fast_math_licences	reassoc nnan ninf nsz arcp afn
case.offline.serial_fold4.fast.O2.contract-off.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.serial_fold4.fast.O2.contract-off.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.offline.serial_fold4.fast.O2.contract-off.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.fast.O2.contract-off.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.fast.O2.contract-on.float_operations	fadd;fadd;fadd
case.offline.serial_fold4.fast.O2.contract-on.fold_shape	t0=a0+a1;t1=t0+a2;t2=t1+a3,tree=serial
case.offline.serial_fold4.fast.O2.contract-on.fast_math_licences	reassoc nnan ninf nsz arcp afn
case.offline.serial_fold4.fast.O2.contract-on.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.serial_fold4.fast.O2.contract-on.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.offline.serial_fold4.fast.O2.contract-on.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.fast.O2.contract-on.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.relaxed.O0.contract-fast.float_operations	fadd;fadd;fadd
case.offline.serial_fold4.relaxed.O0.contract-fast.fold_shape	t0=L0+L1;t1=L2+L3;t2=L4+L5,tree=unresolved-through-stack-slots
case.offline.serial_fold4.relaxed.O0.contract-fast.fast_math_licences	reassoc nsz arcp contract afn
case.offline.serial_fold4.relaxed.O0.contract-fast.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.serial_fold4.relaxed.O0.contract-fast.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.offline.serial_fold4.relaxed.O0.contract-fast.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.relaxed.O0.contract-fast.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.relaxed.O0.contract-off.float_operations	fadd;fadd;fadd
case.offline.serial_fold4.relaxed.O0.contract-off.fold_shape	t0=L0+L1;t1=L2+L3;t2=L4+L5,tree=unresolved-through-stack-slots
case.offline.serial_fold4.relaxed.O0.contract-off.fast_math_licences	reassoc nsz arcp afn
case.offline.serial_fold4.relaxed.O0.contract-off.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.serial_fold4.relaxed.O0.contract-off.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.offline.serial_fold4.relaxed.O0.contract-off.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.relaxed.O0.contract-off.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.relaxed.O0.contract-on.float_operations	fadd;fadd;fadd
case.offline.serial_fold4.relaxed.O0.contract-on.fold_shape	t0=L0+L1;t1=L2+L3;t2=L4+L5,tree=unresolved-through-stack-slots
case.offline.serial_fold4.relaxed.O0.contract-on.fast_math_licences	reassoc nsz arcp afn
case.offline.serial_fold4.relaxed.O0.contract-on.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.serial_fold4.relaxed.O0.contract-on.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.offline.serial_fold4.relaxed.O0.contract-on.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.relaxed.O0.contract-on.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.relaxed.O2.contract-fast.float_operations	fadd;fadd;fadd
case.offline.serial_fold4.relaxed.O2.contract-fast.fold_shape	t0=a1+a0;t1=t0+a2;t2=t1+a3,tree=serial
case.offline.serial_fold4.relaxed.O2.contract-fast.fast_math_licences	reassoc nsz arcp contract afn
case.offline.serial_fold4.relaxed.O2.contract-fast.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.serial_fold4.relaxed.O2.contract-fast.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.offline.serial_fold4.relaxed.O2.contract-fast.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.relaxed.O2.contract-fast.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.relaxed.O2.contract-off.float_operations	fadd;fadd;fadd
case.offline.serial_fold4.relaxed.O2.contract-off.fold_shape	t0=a0+a1;t1=t0+a2;t2=t1+a3,tree=serial
case.offline.serial_fold4.relaxed.O2.contract-off.fast_math_licences	reassoc nsz arcp afn
case.offline.serial_fold4.relaxed.O2.contract-off.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.serial_fold4.relaxed.O2.contract-off.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.offline.serial_fold4.relaxed.O2.contract-off.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.relaxed.O2.contract-off.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.relaxed.O2.contract-on.float_operations	fadd;fadd;fadd
case.offline.serial_fold4.relaxed.O2.contract-on.fold_shape	t0=a0+a1;t1=t0+a2;t2=t1+a3,tree=serial
case.offline.serial_fold4.relaxed.O2.contract-on.fast_math_licences	reassoc nsz arcp afn
case.offline.serial_fold4.relaxed.O2.contract-on.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.serial_fold4.relaxed.O2.contract-on.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.offline.serial_fold4.relaxed.O2.contract-on.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.relaxed.O2.contract-on.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.safe.O0.contract-fast.float_operations	fadd;fadd;fadd
case.offline.serial_fold4.safe.O0.contract-fast.fold_shape	t0=L0+L1;t1=L2+L3;t2=L4+L5,tree=unresolved-through-stack-slots
case.offline.serial_fold4.safe.O0.contract-fast.fast_math_licences	contract
case.offline.serial_fold4.safe.O0.contract-fast.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.serial_fold4.safe.O0.contract-fast.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.offline.serial_fold4.safe.O0.contract-fast.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.safe.O0.contract-fast.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.safe.O0.contract-off.float_operations	fadd;fadd;fadd
case.offline.serial_fold4.safe.O0.contract-off.fold_shape	t0=L0+L1;t1=L2+L3;t2=L4+L5,tree=unresolved-through-stack-slots
case.offline.serial_fold4.safe.O0.contract-off.fast_math_licences	none
case.offline.serial_fold4.safe.O0.contract-off.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.serial_fold4.safe.O0.contract-off.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.offline.serial_fold4.safe.O0.contract-off.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.safe.O0.contract-off.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.safe.O0.contract-on.float_operations	fadd;fadd;fadd
case.offline.serial_fold4.safe.O0.contract-on.fold_shape	t0=L0+L1;t1=L2+L3;t2=L4+L5,tree=unresolved-through-stack-slots
case.offline.serial_fold4.safe.O0.contract-on.fast_math_licences	none
