case	realization	status	observed_bits	declared_topology	verdict	matched_candidates	distinct_candidate_values	declared_separation
split_topology	direct_zero_seed	ok	bb1d0482	zero_seed_fold	agrees-with-declared	payload_propagating_fold,payload_propagating_fold+ftz,strict_fold,strict_fold+ftz,zero_seed_fold,zero_seed_fold+ftz	8	non-distinguishing
split_topology	tiled	ok	bb1d0482	strict_fold	agrees-with-declared	payload_propagating_fold,payload_propagating_fold+ftz,strict_fold,strict_fold+ftz,zero_seed_fold,zero_seed_fold+ftz	8	non-distinguishing
split_topology	ksplit_contiguous	ok	bb1d0683	contiguous_split	agrees-with-declared	contiguous_split,contiguous_split+ftz	8	distinguishing
split_topology	ksplit_strided	ok	bb1d0672	strided_split	agrees-with-declared	strided_split,strided_split+ftz	8	distinguishing
split_topology	simdgroup	ok	bb1d047f	none	no-declared-topology	fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz	8	n/a
split_topology	opaque_mps	ok	bb1d0600	none	no-declared-topology	unattributed	8	n/a
negative_zero_seed	direct	ok	80000000	strict_fold	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,payload_propagating_fold,payload_propagating_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz	2	non-distinguishing
negative_zero_seed	direct_zero_seed	ok	00000000	zero_seed_fold	agrees-with-declared	fma_zero_seed_fold,fma_zero_seed_fold+ftz,zero_seed_fold,zero_seed_fold+ftz	2	non-distinguishing
negative_zero_seed	tiled	ok	80000000	strict_fold	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,payload_propagating_fold,payload_propagating_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz	2	non-distinguishing
negative_zero_seed	ksplit_contiguous	ok	80000000	contiguous_split	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,payload_propagating_fold,payload_propagating_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz	2	non-distinguishing
negative_zero_seed	ksplit_strided	ok	80000000	strided_split	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,payload_propagating_fold,payload_propagating_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz	2	non-distinguishing
negative_zero_seed	simdgroup	ok	00000000	none	no-declared-topology	fma_zero_seed_fold,fma_zero_seed_fold+ftz,zero_seed_fold,zero_seed_fold+ftz	2	n/a
negative_zero_seed	opaque_mps	ok	00000000	none	no-declared-topology	fma_zero_seed_fold,fma_zero_seed_fold+ftz,zero_seed_fold,zero_seed_fold+ftz	2	n/a
nan_payload	direct	ok	7fc00000	strict_fold	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	2	non-distinguishing
nan_payload	direct_zero_seed	ok	7fc00000	zero_seed_fold	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	2	non-distinguishing
nan_payload	tiled	ok	7fc00000	strict_fold	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	2	non-distinguishing
nan_payload	ksplit_contiguous	ok	7fc00000	contiguous_split	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	2	non-distinguishing
nan_payload	ksplit_strided	ok	7fc00000	strided_split	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	2	non-distinguishing
nan_payload	simdgroup	ok	7fc00000	none	no-declared-topology	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	2	n/a
nan_payload	opaque_mps	ok	7fc00000	none	no-declared-topology	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	2	n/a
infinity_times_zero	direct	ok	7fc00000	strict_fold	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,payload_propagating_fold,payload_propagating_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	1	non-distinguishing
infinity_times_zero	direct_zero_seed	ok	7fc00000	zero_seed_fold	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,payload_propagating_fold,payload_propagating_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	1	non-distinguishing
infinity_times_zero	tiled	ok	7fc00000	strict_fold	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,payload_propagating_fold,payload_propagating_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	1	non-distinguishing
infinity_times_zero	ksplit_contiguous	ok	7fc00000	contiguous_split	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,payload_propagating_fold,payload_propagating_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	1	non-distinguishing
infinity_times_zero	ksplit_strided	ok	7fc00000	strided_split	agrees-with-declared	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,payload_propagating_fold,payload_propagating_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	1	non-distinguishing
infinity_times_zero	simdgroup	ok	7fc00000	none	no-declared-topology	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,payload_propagating_fold,payload_propagating_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	1	n/a
infinity_times_zero	opaque_mps	ok	7fc00000	none	no-declared-topology	contiguous_split,contiguous_split+ftz,exact_dot_then_round,exact_dot_then_round+ftz,exact_products_then_round,exact_products_then_round+ftz,fma_fold,fma_fold+ftz,fma_zero_seed_fold,fma_zero_seed_fold+ftz,payload_propagating_fold,payload_propagating_fold+ftz,reversed_fma_fold,reversed_fma_fold+ftz,reversed_fold,reversed_fold+ftz,strict_fold,strict_fold+ftz,strided_split,strided_split+ftz,zero_seed_fold,zero_seed_fold+ftz	1	n/a
subnormal_product	direct	ok	00000000	strict_fold	agrees-with-declared	contiguous_split+ftz,exact_dot_then_round+ftz,exact_products_then_round+ftz,fma_fold+ftz,fma_zero_seed_fold+ftz,payload_propagating_fold+ftz,reversed_fma_fold+ftz,reversed_fold+ftz,strict_fold+ftz,strided_split+ftz,zero_seed_fold+ftz	2	non-distinguishing
subnormal_product	direct_zero_seed	ok	00000000	zero_seed_fold	agrees-with-declared	contiguous_split+ftz,exact_dot_then_round+ftz,exact_products_then_round+ftz,fma_fold+ftz,fma_zero_seed_fold+ftz,payload_propagating_fold+ftz,reversed_fma_fold+ftz,reversed_fold+ftz,strict_fold+ftz,strided_split+ftz,zero_seed_fold+ftz	2	non-distinguishing
subnormal_product	tiled	ok	00000000	strict_fold	agrees-with-declared	contiguous_split+ftz,exact_dot_then_round+ftz,exact_products_then_round+ftz,fma_fold+ftz,fma_zero_seed_fold+ftz,payload_propagating_fold+ftz,reversed_fma_fold+ftz,reversed_fold+ftz,strict_fold+ftz,strided_split+ftz,zero_seed_fold+ftz	2	non-distinguishing
subnormal_product	ksplit_contiguous	ok	00000000	contiguous_split	agrees-with-declared	contiguous_split+ftz,exact_dot_then_round+ftz,exact_products_then_round+ftz,fma_fold+ftz,fma_zero_seed_fold+ftz,payload_propagating_fold+ftz,reversed_fma_fold+ftz,reversed_fold+ftz,strict_fold+ftz,strided_split+ftz,zero_seed_fold+ftz	2	non-distinguishing
subnormal_product	ksplit_strided	ok	00000000	strided_split	agrees-with-declared	contiguous_split+ftz,exact_dot_then_round+ftz,exact_products_then_round+ftz,fma_fold+ftz,fma_zero_seed_fold+ftz,payload_propagating_fold+ftz,reversed_fma_fold+ftz,reversed_fold+ftz,strict_fold+ftz,strided_split+ftz,zero_seed_fold+ftz	2	non-distinguishing
subnormal_product	simdgroup	ok	00000000	none	no-declared-topology	contiguous_split+ftz,exact_dot_then_round+ftz,exact_products_then_round+ftz,fma_fold+ftz,fma_zero_seed_fold+ftz,payload_propagating_fold+ftz,reversed_fma_fold+ftz,reversed_fold+ftz,strict_fold+ftz,strided_split+ftz,zero_seed_fold+ftz	2	n/a
subnormal_product	opaque_mps	ok	00000000	none	no-declared-topology	contiguous_split+ftz,exact_dot_then_round+ftz,exact_products_then_round+ftz,fma_fold+ftz,fma_zero_seed_fold+ftz,payload_propagating_fold+ftz,reversed_fma_fold+ftz,reversed_fold+ftz,strict_fold+ftz,strided_split+ftz,zero_seed_fold+ftz	2	n/a
