realization	topology	outcome	refuting_case	admissible_cases	declared_topology
tiled	reversed_fma_fold+ftz	refuted	order_absorption	8	strict_fold
tiled	reversed_fold	refuted	order_absorption	8	strict_fold
tiled	reversed_fold+ftz	refuted	order_absorption	8	strict_fold
tiled	strict_fold	refuted	subnormal_product	8	strict_fold
tiled	strict_fold+ftz	consistent		8	strict_fold
tiled	strided_split	refuted	order_absorption	8	strict_fold
tiled	strided_split+ftz	refuted	order_absorption	8	strict_fold
tiled	zero_seed_fold	refuted	negative_zero_seed	8	strict_fold
tiled	zero_seed_fold+ftz	refuted	negative_zero_seed	8	strict_fold
ksplit_contiguous	contiguous_split	refuted	subnormal_product	8	contiguous_split
ksplit_contiguous	contiguous_split+ftz	consistent		8	contiguous_split
ksplit_contiguous	exact_dot_then_round	refuted	order_absorption	8	contiguous_split
ksplit_contiguous	exact_dot_then_round+ftz	refuted	order_absorption	8	contiguous_split
ksplit_contiguous	exact_products_then_round	refuted	order_absorption	8	contiguous_split
ksplit_contiguous	exact_products_then_round+ftz	refuted	order_absorption	8	contiguous_split
ksplit_contiguous	fma_fold	refuted	order_absorption	8	contiguous_split
ksplit_contiguous	fma_fold+ftz	refuted	order_absorption	8	contiguous_split
ksplit_contiguous	fma_zero_seed_fold	refuted	order_absorption	8	contiguous_split
ksplit_contiguous	fma_zero_seed_fold+ftz	refuted	order_absorption	8	contiguous_split
ksplit_contiguous	payload_propagating_fold	refuted	order_absorption	8	contiguous_split
ksplit_contiguous	payload_propagating_fold+ftz	refuted	order_absorption	8	contiguous_split
ksplit_contiguous	reversed_fma_fold	refuted	order_absorption	8	contiguous_split
ksplit_contiguous	reversed_fma_fold+ftz	refuted	order_absorption	8	contiguous_split
ksplit_contiguous	reversed_fold	refuted	order_absorption	8	contiguous_split
ksplit_contiguous	reversed_fold+ftz	refuted	order_absorption	8	contiguous_split
ksplit_contiguous	strict_fold	refuted	order_absorption	8	contiguous_split
ksplit_contiguous	strict_fold+ftz	refuted	order_absorption	8	contiguous_split
ksplit_contiguous	strided_split	refuted	split_topology	8	contiguous_split
ksplit_contiguous	strided_split+ftz	refuted	split_topology	8	contiguous_split
ksplit_contiguous	zero_seed_fold	refuted	order_absorption	8	contiguous_split
ksplit_contiguous	zero_seed_fold+ftz	refuted	order_absorption	8	contiguous_split
ksplit_strided	contiguous_split	refuted	split_topology	8	strided_split
ksplit_strided	contiguous_split+ftz	refuted	split_topology	8	strided_split
ksplit_strided	exact_dot_then_round	refuted	order_absorption	8	strided_split
ksplit_strided	exact_dot_then_round+ftz	refuted	order_absorption	8	strided_split
ksplit_strided	exact_products_then_round	refuted	order_absorption	8	strided_split
ksplit_strided	exact_products_then_round+ftz	refuted	order_absorption	8	strided_split
ksplit_strided	fma_fold	refuted	order_absorption	8	strided_split
ksplit_strided	fma_fold+ftz	refuted	order_absorption	8	strided_split
ksplit_strided	fma_zero_seed_fold	refuted	order_absorption	8	strided_split
ksplit_strided	fma_zero_seed_fold+ftz	refuted	order_absorption	8	strided_split
ksplit_strided	payload_propagating_fold	refuted	order_absorption	8	strided_split
ksplit_strided	payload_propagating_fold+ftz	refuted	order_absorption	8	strided_split
ksplit_strided	reversed_fma_fold	refuted	order_absorption	8	strided_split
ksplit_strided	reversed_fma_fold+ftz	refuted	order_absorption	8	strided_split
ksplit_strided	reversed_fold	refuted	order_absorption	8	strided_split
ksplit_strided	reversed_fold+ftz	refuted	order_absorption	8	strided_split
ksplit_strided	strict_fold	refuted	order_absorption	8	strided_split
ksplit_strided	strict_fold+ftz	refuted	order_absorption	8	strided_split
ksplit_strided	strided_split	refuted	subnormal_product	8	strided_split
ksplit_strided	strided_split+ftz	consistent		8	strided_split
ksplit_strided	zero_seed_fold	refuted	order_absorption	8	strided_split
ksplit_strided	zero_seed_fold+ftz	refuted	order_absorption	8	strided_split
simdgroup	contiguous_split	refuted	order_absorption	8	none
simdgroup	contiguous_split+ftz	refuted	order_absorption	8	none
simdgroup	exact_dot_then_round	refuted	order_absorption	8	none
simdgroup	exact_dot_then_round+ftz	refuted	order_absorption	8	none
simdgroup	exact_products_then_round	refuted	order_absorption	8	none
simdgroup	exact_products_then_round+ftz	refuted	order_absorption	8	none
simdgroup	fma_fold	refuted	negative_zero_seed	8	none
simdgroup	fma_fold+ftz	refuted	negative_zero_seed	8	none
simdgroup	fma_zero_seed_fold	refuted	subnormal_product	8	none
simdgroup	fma_zero_seed_fold+ftz	consistent		8	none
simdgroup	payload_propagating_fold	refuted	contraction_pair	8	none
simdgroup	payload_propagating_fold+ftz	refuted	contraction_pair	8	none
simdgroup	reversed_fma_fold	refuted	order_absorption	8	none
simdgroup	reversed_fma_fold+ftz	refuted	order_absorption	8	none
simdgroup	reversed_fold	refuted	order_absorption	8	none
simdgroup	reversed_fold+ftz	refuted	order_absorption	8	none
simdgroup	strict_fold	refuted	contraction_pair	8	none
simdgroup	strict_fold+ftz	refuted	contraction_pair	8	none
simdgroup	strided_split	refuted	order_absorption	8	none
simdgroup	strided_split+ftz	refuted	order_absorption	8	none
simdgroup	zero_seed_fold	refuted	contraction_pair	8	none
simdgroup	zero_seed_fold+ftz	refuted	contraction_pair	8	none
opaque_mps	contiguous_split	refuted	contraction_pair	8	none
opaque_mps	contiguous_split+ftz	refuted	contraction_pair	8	none
opaque_mps	exact_dot_then_round	refuted	order_absorption	8	none
opaque_mps	exact_dot_then_round+ftz	refuted	order_absorption	8	none
opaque_mps	exact_products_then_round	refuted	order_absorption	8	none
opaque_mps	exact_products_then_round+ftz	refuted	order_absorption	8	none
opaque_mps	fma_fold	refuted	order_absorption	8	none
opaque_mps	fma_fold+ftz	refuted	order_absorption	8	none
opaque_mps	fma_zero_seed_fold	refuted	order_absorption	8	none
opaque_mps	fma_zero_seed_fold+ftz	refuted	order_absorption	8	none
opaque_mps	payload_propagating_fold	refuted	order_absorption	8	none
opaque_mps	payload_propagating_fold+ftz	refuted	order_absorption	8	none
opaque_mps	reversed_fma_fold	refuted	order_absorption	8	none
opaque_mps	reversed_fma_fold+ftz	refuted	order_absorption	8	none
opaque_mps	reversed_fold	refuted	order_absorption	8	none
opaque_mps	reversed_fold+ftz	refuted	order_absorption	8	none
opaque_mps	strict_fold	refuted	order_absorption	8	none
opaque_mps	strict_fold+ftz	refuted	order_absorption	8	none
opaque_mps	strided_split	refuted	contraction_pair	8	none
opaque_mps	strided_split+ftz	refuted	contraction_pair	8	none
opaque_mps	zero_seed_fold	refuted	order_absorption	8	none
opaque_mps	zero_seed_fold+ftz	refuted	order_absorption	8	none
